Country,Alpha-3,Count per Capita
Turks and Caicos Islands,TCA,0.0029245342997011887
Tuvalu,TUV,9.398496240601504e-05
Uganda,UGA,0.0003608312881895531
Ukraine,UKR,1.21098857119581e-05
United Arab Emirates,ARE,0.0008877840909090909
United Kingdom of Great Britain and Northern Ireland,GBR,0.005758500998310551
United States of America,USA,0.004003259792496921
United States Minor Outlying Islands,UMI,0.0
Uruguay,URY,0.00011119980277120253
Uzbekistan,UZB,1.4884534019077538e-06
Vanuatu,VUT,0.00044324324324324327
Venezuela (Bolivarian Republic of),VEN,2.0464924408692598e-05
Viet Nam,VNM,1.3980582524271844e-05
Virgin Islands (British),VGB,0.002805639335063478
Virgin Islands (U.S.),VIR,0.0027104049920256574
Wallis and Futuna,WLF,0.0
Western Sahara,ESH,3.916093774781531e-06
Yemen,YEM,5.349734332920882e-06
Zambia,ZMB,0.00015313279255282594
Zimbabwe,ZWE,0.00019283480363433913
